Tweets,Label
Jadi kira-kira kapan TikTok Shop akan dibuka kembali?      ,Positif
KOH CUN UPDATE STORY SEPERTI INI. APAKAH TIKTOK SHOP SEGERA COME BACK?    ,Positif
Sebelum Masuk Ke Step-step Pendaftaran TokTok Affiliate. Berikut Adalah Pengertian Dari TikTok Affiliate          ,Negatif
Cerita Perjalanan Saya Di TikTok Shop Affiliate       ,Positif
Turut berduka🙏🏻😭  ,Positif
TIKTOKSHOP DITUTUP    ,Negatif
"Ngenes, Video Parodi TikTok Shop Meninggal         ",Positif
Baru-baru ini kita mendengar bahwa Tiktok Shop ditutup oleh Kementrian Perdagangan. Ini menimbulkan pro dan kontra di kalangan masyarakat. Apakah yang sebenarnya terjadi? Yuk disimak penjelasan dari Bambang Suwarso!     ,Positif
"Dan untuk perusahaan sebesar tiktok gue yakin kok mereka punya management krisis dan communication action dalam menghadapi situasi seperti ini. Jadi gak mungkin hanya diam saja, tinggal dilihat arah strtaegi managemen krisisnya mau kemana.  ",Positif
Ya kecuali memang tiktokshop tidak peduli dengan bagaimana nasib para user yang juga sudah ikut membesarkan platform ini secara tidak langsung.  ,Positif
"seharusnya juga tiktok memberikan komunikasi campaign terkait alternatif bagi komunitasnya utk tetap dapat berjualan sesuai aturan sehingga tetap memberikan rasa aman, nyaman dan kepercayaan bagi banyaknya user yang sudah berjualan dengan tiktokshop selama ini ",Positif
Ini juga untuk menghindari tuduhan lempar batu sembunyi tangan dan menghindari benar adanya isu tiktok menggunakan para afiliator dan seller tiktok untuk menentang regulasi pemerintah yang bertujuan mencegah monopoli platform global.  ,Positif
Jika memang tiktok harus tutup secara permanent sekiranya tiktok dapat menjelaskan Regulasi mana yang tidak dapat dipenuhi atau  memberatkan pihak tiktok dalam prosesnya memperoleh perizinan tiktokshop sebagai E commerce.   ,Negatif
penting. Karena tiktok harus memberikan klarifikasi dari poin of view mereka mengenai alasan kenapa tiktokshop berhenti beroperasi atau jangan jangan hanya berhenti beroperasi sementara selama proses perubahan atau pengajuan perizinan.  ,Positif
"Dari kekisruhan dan blunder yang terjadi terkait Tiktok shop sampai saat ini, sepertinya ada pihak yang harusnya juga Buka suara dan berbicara secara resmi didepan publik yaitu tiktok.  ",Positif
Sebuah kisah tentang Alice Norin yang menangis bareng dengan karyawannya ketika akhirnya resmi diberlakukan penutupan    ,Positif
"Dennies Soesanto, salah satu seller koper dan tas di  menyayangkan ditutupnya layanan  Dia menilai, upaya pemerintah menutup TikTok Shop dianggap sebagai PHK massal bagi para pedagang. ",Positif
  Pandawara    Minum Nescafe   Joget bareng KPAI bareng udil     Link respect udil  ,Positif
  Pandawara    Minum Nescafe   Joget bareng KPAI bareng udil    ,Positif
gw kg mao jualan di  hanya di Tokopedia  Shopee aja      Jual Vakum Pembesar Alat Vital Pria  ,Negatif
 resmi ditutup ygy  ,Negatif
 resmi ditutup  ini  point pentingnya!   ,Positif
Reaksi Tim internal     ,Positif
TikTok Shop berhenti imbas Permendag 31/2023 yang larang medsos peran ganda sebagai ecommerce   Platform apa yang paling sesuai &amp  aman untuk bisnis jangka panjang? Hub. kami di  konsultasi GRATIS   ,Positif
Lagi ramai nih    ,Positif
Membela tiktokshop dengan menyalahkan aturan regulasi pemerintah untuk menciptakan keadilan dan melindungi  seluruh pelaku ekonomi dan bisnis digital di Indonesia kok menurutku kurang bijaksana ya ,Negatif
